datetime,iter,ii,model_val,cal_val,physical_val
17/09/25 10:51:37,9,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:37,9,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:37,9,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:37,9,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:37,9,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:37,9,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:37,9,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:38,10,0,50,(np.float64(62.20992981277865), np.float64(1.05)),114.70992981277865
17/09/25 10:51:38,10,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:38,10,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:38,10,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:38,10,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:38,10,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:38,10,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:38,10,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:38,11,0,50,(np.float64(62.054648812021554), np.float64(1.05)),114.55464881202155
17/09/25 10:51:38,11,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:38,11,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:38,11,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:38,11,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:38,11,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:38,11,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:38,11,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:39,12,0,50,(np.float64(61.95867987574657), np.float64(1.05)),114.45867987574657
17/09/25 10:51:39,12,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:39,12,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:39,12,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:39,12,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:39,12,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:39,12,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:39,12,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:40,13,0,50,(np.float64(61.899367811264455), np.float64(1.05)),114.39936781126445
17/09/25 10:51:40,13,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:40,13,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:40,13,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:40,13,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:40,13,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:40,13,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:40,13,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:40,14,0,50,(np.float64(61.86271093947158), np.float64(1.05)),114.36271093947158
17/09/25 10:51:40,14,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:40,14,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:40,14,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:40,14,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:40,14,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:40,14,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:40,14,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:41,15,0,50,(np.float64(61.84005574678234), np.float64(1.05)),114.34005574678234
17/09/25 10:51:41,15,1,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:41,15,2,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:41,15,3,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:41,15,4,50,(np.float64(0.01), np.float64(1.05)),52.51
17/09/25 10:51:41,15,5,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:41,15,6,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:41,15,7,10,(np.float64(0.01), np.float64(1.05)),10.51
17/09/25 10:51:41,16,0,50,(np.float64(61.82605406767871), np.float64(1.05)),114.32605406767871
17/09/25 10:51:41,16,1,50,(np.float64(0.01), np.float64(1.05)),52.51
