datetime,iter,obj_param,node,fun,score
17/09/25 22:32:41,0,flow(cms),9,kge,0.7806841643134423
17/09/25 22:32:41,0,flow(cms),10,kge,0.7731727258461937
17/09/25 22:32:41,0,flow(cms),13,kge,0.782335196213757
17/09/25 22:32:41,0,flow(cms),14,kge,0.7820755733680829
17/09/25 22:32:41,0,flow(cms),15,kge,0.7635510294310235
17/09/25 22:32:41,0,flow(cms),16,kge,0.8381680581824494
17/09/25 22:32:41,0,flow(cms),17,kge,0.8362964227465337
17/09/25 22:32:41,0,flow(cms),19,kge,0.7989416688931896
17/09/25 22:32:41,0,flow(cms),20,kge,0.7988168050374518
17/09/25 22:32:41,0,flow(cms),21,kge,0.8802829946320018
17/09/25 22:32:41,0,flow(cms),22,kge,0.8564515167113881
17/09/25 22:32:41,0,flow(cms),23,kge,0.7724074391888491
17/09/25 22:32:41,0,flow(cms),24,kge,0.8360071689250019
17/09/25 22:32:41,0,flow(cms),18,kge,0.8263803916856874
17/09/25 22:32:41,1,flow(cms),9,kge,0.7806841643134423
17/09/25 22:32:41,1,flow(cms),10,kge,0.7731727258461937
17/09/25 22:32:41,1,flow(cms),13,kge,0.782335196213757
17/09/25 22:32:41,1,flow(cms),14,kge,0.7820755733680829
17/09/25 22:32:41,1,flow(cms),15,kge,0.7635510294310235
17/09/25 22:32:41,1,flow(cms),16,kge,0.8545985429590218
17/09/25 22:32:41,1,flow(cms),17,kge,0.8782692036353961
17/09/25 22:32:41,1,flow(cms),19,kge,0.9628123843586806
17/09/25 22:32:41,1,flow(cms),20,kge,0.9627923444092266
17/09/25 22:32:41,1,flow(cms),21,kge,0.9239304686413983
17/09/25 22:32:41,1,flow(cms),22,kge,0.8880765728378945
17/09/25 22:32:41,1,flow(cms),23,kge,0.9573951946725195
17/09/25 22:32:41,1,flow(cms),24,kge,0.8779965746182137
17/09/25 22:32:41,1,flow(cms),18,kge,0.891463548005231
17/09/25 22:32:42,2,flow(cms),9,kge,0.7806841643134423
17/09/25 22:32:42,2,flow(cms),10,kge,0.7731727258461937
17/09/25 22:32:42,2,flow(cms),13,kge,0.782335196213757
17/09/25 22:32:42,2,flow(cms),14,kge,0.7820755733680829
17/09/25 22:32:42,2,flow(cms),15,kge,0.7635510294310235
17/09/25 22:32:42,2,flow(cms),16,kge,0.8421414058921332
17/09/25 22:32:42,2,flow(cms),17,kge,0.844938736174657
17/09/25 22:32:42,2,flow(cms),19,kge,0.8322232226003982
17/09/25 22:32:42,2,flow(cms),20,kge,0.8321158995169409
17/09/25 22:32:42,2,flow(cms),21,kge,0.890082876558477
17/09/25 22:32:42,2,flow(cms),22,kge,0.8636351009854412
17/09/25 22:32:42,2,flow(cms),23,kge,0.8083024643547718
17/09/25 22:32:42,2,flow(cms),24,kge,0.8451648614505336
17/09/25 22:32:42,2,flow(cms),18,kge,0.8401495493374905
17/09/25 22:32:42,3,flow(cms),9,kge,0.7806841643134423
17/09/25 22:32:42,3,flow(cms),10,kge,0.7731727258461937
17/09/25 22:32:42,3,flow(cms),13,kge,0.782335196213757
17/09/25 22:32:42,3,flow(cms),14,kge,0.7820755733680829
17/09/25 22:32:42,3,flow(cms),15,kge,0.7635510294310235
17/09/25 22:32:42,3,flow(cms),16,kge,0.8368255052097042
17/09/25 22:32:42,3,flow(cms),17,kge,0.8327448343985927
17/09/25 22:32:42,3,flow(cms),19,kge,0.7878869920981862
17/09/25 22:32:42,3,flow(cms),20,kge,0.7877606753873126
17/09/25 22:32:42,3,flow(cms),21,kge,0.8769176873117038
17/09/25 22:32:42,3,flow(cms),22,kge,0.8539959288036785
17/09/25 22:32:42,3,flow(cms),23,kge,0.7615012820758716
17/09/25 22:32:42,3,flow(cms),24,kge,0.8326802614913342
17/09/25 22:32:42,3,flow(cms),18,kge,0.8212553633479596
17/09/25 22:32:43,4,flow(cms),9,kge,0.7806841643134423
17/09/25 22:32:43,4,flow(cms),10,kge,0.7731727258461937
17/09/25 22:32:43,4,flow(cms),13,kge,0.782335196213757
17/09/25 22:32:43,4,flow(cms),14,kge,0.7820755733680829
17/09/25 22:32:43,4,flow(cms),15,kge,0.7635510294310235
17/09/25 22:32:43,4,flow(cms),16,kge,0.8368255052097042
17/09/25 22:32:43,4,flow(cms),17,kge,0.8327448343985927
17/09/25 22:32:43,4,flow(cms),19,kge,0.7878869920981862
17/09/25 22:32:43,4,flow(cms),20,kge,0.7877606753873126
17/09/25 22:32:43,4,flow(cms),21,kge,0.8769176873117038
17/09/25 22:32:43,4,flow(cms),22,kge,0.8539959288036785
17/09/25 22:32:43,4,flow(cms),23,kge,0.7615012820758716
17/09/25 22:32:43,4,flow(cms),24,kge,0.8326802614913342
17/09/25 22:32:43,4,flow(cms),18,kge,0.8212553633479596
17/09/25 22:32:44,5,flow(cms),9,kge,0.7806841643134423
17/09/25 22:32:44,5,flow(cms),10,kge,0.7731727258461937
17/09/25 22:32:44,5,flow(cms),13,kge,0.782335196213757
17/09/25 22:32:44,5,flow(cms),14,kge,0.7820755733680829
17/09/25 22:32:44,5,flow(cms),15,kge,0.7635510294310235
17/09/25 22:32:44,5,flow(cms),16,kge,0.8414797352131325
17/09/25 22:32:44,5,flow(cms),17,kge,0.8441516344331473
17/09/25 22:32:44,5,flow(cms),19,kge,0.8302291294313499
17/09/25 22:32:44,5,flow(cms),20,kge,0.8301204615925916
17/09/25 22:32:44,5,flow(cms),21,kge,0.8895106272299326
17/09/25 22:32:44,5,flow(cms),22,kge,0.8626556027530332
17/09/25 22:32:44,5,flow(cms),23,kge,0.8060654723802468
17/09/25 22:32:44,5,flow(cms),24,kge,0.8443249460046827
17/09/25 22:32:44,5,flow(cms),18,kge,0.8390115470768666
17/09/25 22:32:44,6,flow(cms),9,kge,0.7806841643134423
17/09/25 22:32:44,6,flow(cms),10,kge,0.7731727258461937
17/09/25 22:32:44,6,flow(cms),13,kge,0.782335196213757
17/09/25 22:32:44,6,flow(cms),14,kge,0.7820755733680829
17/09/25 22:32:44,6,flow(cms),15,kge,0.7635510294310235
17/09/25 22:32:44,6,flow(cms),16,kge,0.8368255052097042
17/09/25 22:32:44,6,flow(cms),17,kge,0.8327448343985927
17/09/25 22:32:44,6,flow(cms),19,kge,0.7878869920981862
17/09/25 22:32:44,6,flow(cms),20,kge,0.7877606753873126
17/09/25 22:32:44,6,flow(cms),21,kge,0.8769176873117038
17/09/25 22:32:44,6,flow(cms),22,kge,0.8539959288036785
17/09/25 22:32:44,6,flow(cms),23,kge,0.7615012820758716
17/09/25 22:32:44,6,flow(cms),24,kge,0.8326802614913342
17/09/25 22:32:44,6,flow(cms),18,kge,0.8212553633479596
17/09/25 22:32:45,7,flow(cms),9,kge,-0.5589367677628734
17/09/25 22:32:45,7,flow(cms),10,kge,-0.6197833185244281
17/09/25 22:32:45,7,flow(cms),13,kge,-0.4710742249794313
17/09/25 22:32:45,7,flow(cms),14,kge,-0.47396930500223866
17/09/25 22:32:45,7,flow(cms),15,kge,-0.6902467443834805
17/09/25 22:32:45,7,flow(cms),16,kge,0.10204742640964337
17/09/25 22:32:45,7,flow(cms),17,kge,0.3150893185551693
17/09/25 22:32:45,7,flow(cms),19,kge,0.7980954725229846
17/09/25 22:32:45,7,flow(cms),20,kge,0.7979840070540924
17/09/25 22:32:45,7,flow(cms),21,kge,0.5437713332626278
17/09/25 22:32:45,7,flow(cms),22,kge,0.37666719351427747
17/09/25 22:32:45,7,flow(cms),23,kge,0.7666585959711438
17/09/25 22:32:45,7,flow(cms),24,kge,0.31501615417228823
17/09/25 22:32:45,7,flow(cms),18,kge,0.411614242840011
17/09/25 22:32:45,8,flow(cms),9,kge,0.7806841643134423
17/09/25 22:32:45,8,flow(cms),10,kge,0.7731727258461937
17/09/25 22:32:45,8,flow(cms),13,kge,0.782335196213757
17/09/25 22:32:45,8,flow(cms),14,kge,0.7820755733680829
17/09/25 22:32:45,8,flow(cms),15,kge,0.7635510294310235
17/09/25 22:32:45,8,flow(cms),16,kge,0.8368255052097042
17/09/25 22:32:45,8,flow(cms),17,kge,0.8327448343985927
17/09/25 22:32:45,8,flow(cms),19,kge,0.7878869920981862
17/09/25 22:32:45,8,flow(cms),20,kge,0.7877606753873126
17/09/25 22:32:45,8,flow(cms),21,kge,0.8769176873117038
17/09/25 22:32:45,8,flow(cms),22,kge,0.8539959288036785
17/09/25 22:32:45,8,flow(cms),23,kge,0.7615012820758716
17/09/25 22:32:45,8,flow(cms),24,kge,0.8326802614913342
17/09/25 22:32:45,8,flow(cms),18,kge,0.8212553633479596
17/09/25 22:32:46,9,flow(cms),9,kge,0.7806841643134423
17/09/25 22:32:46,9,flow(cms),10,kge,0.7731727258461937
17/09/25 22:32:46,9,flow(cms),13,kge,0.782335196213757
17/09/25 22:32:46,9,flow(cms),14,kge,0.7820755733680829
17/09/25 22:32:46,9,flow(cms),15,kge,0.7635510294310235
17/09/25 22:32:46,9,flow(cms),16,kge,0.8709722857438716
17/09/25 22:32:46,9,flow(cms),17,kge,0.9200700931597983
17/09/25 22:32:46,9,flow(cms),19,kge,0.8328158742229923
17/09/25 22:32:46,9,flow(cms),20,kge,0.8327183367863303
17/09/25 22:32:46,9,flow(cms),21,kge,0.9638960318922418
17/09/25 22:32:46,9,flow(cms),22,kge,0.9201150255406388
17/09/25 22:32:46,9,flow(cms),23,kge,0.8070195977977346
17/09/25 22:32:46,9,flow(cms),24,kge,0.920067150093866
17/09/25 22:32:46,9,flow(cms),18,kge,0.9583978540514925
17/09/25 22:32:46,10,flow(cms),9,kge,0.7806841643134423
17/09/25 22:32:46,10,flow(cms),10,kge,0.7731727258461937
17/09/25 22:32:46,10,flow(cms),13,kge,0.782335196213757
17/09/25 22:32:46,10,flow(cms),14,kge,0.7820755733680829
17/09/25 22:32:46,10,flow(cms),15,kge,0.7635510294310235
17/09/25 22:32:46,10,flow(cms),16,kge,0.8368255052097042
